INFO:2015-06-04 00:08:06:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:08:29:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:08:52:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:09:15:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:09:38:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:10:01:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:10:24:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:10:47:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:11:10:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:11:34:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
